,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
0,100,100,1,0.01,10,0.01,962,2.23383134,962,40.08333333
1,100,100,1,0.01,10,0.05,230,0.5340761,230,9.583333333
2,100,100,1,0.01,10,0.1,118,0.27400426,118,4.916666667
3,100,100,1,0.01,11,0.01,1130,2.6239391,1130,47.08333333
4,100,100,1,0.01,11,0.05,280,0.6501796,280,11.66666667
5,100,100,1,0.01,11,0.1,144,0.33437808,144,6
6,100,100,1,0.01,12,0.01,1368,3.17659176,1368,57
7,100,100,1,0.01,12,0.05,357,0.82897899,357,14.875
8,100,100,1,0.01,12,0.1,186,0.43190502,186,7.75
9,100,100,1,0.01,13,0.01,1733,4.02414731,1733,72.20833333
10,100,100,1,0.01,13,0.05,491,1.14013637,491,20.45833333
11,100,100,1,0.01,13,0.1,259,0.60141613,259,10.79166667
12,100,100,1,0.01,14,0.01,2352,5.46150864,2352,98
13,100,100,1,0.01,14,0.05,782,1.81585874,782,32.58333333
14,100,100,1,0.01,14,0.1,427,0.99152389,427,17.79166667
15,100,100,1,0.01,15,0.01,3423,7.94844561,3423,142.625
16,100,100,1,0.01,15,0.05,1629,3.78265203,1629,67.875
17,100,100,1,0.01,15,0.1,985,2.28723895,985,41.04166667
18,100,100,1,0.01,16,0.01,4430,10.2867701,4430,184.5833333
19,100,100,1,0.01,16,0.05,3550,8.2433485,3550,147.9166667
20,100,100,1,0.01,16,0.1,2844,6.60396708,2844,118.5
21,100,100,1,0.01,17,0.01,4688,10.88586416,4688,195.3333333
22,100,100,1,0.01,17,0.05,4557,10.58167299,4557,189.875
23,100,100,1,0.01,17,0.1,4403,10.22407421,4403,183.4583333
24,100,100,1,0.01,18,0.01,4719,10.95784833,4719,196.625
25,100,100,1,0.01,18,0.05,4705,10.92533935,4705,196.0416667
26,100,100,1,0.01,18,0.1,4688,10.88586416,4688,195.3333333
27,100,100,1,0.05,10,0.01,531,1.23301917,531,22.125
28,100,100,1,0.05,10,0.05,193,0.44815951,193,8.041666667
29,100,100,1,0.05,10,0.1,108,0.25078356,108,4.5
30,100,100,1,0.05,11,0.01,578,1.34215646,578,24.08333333
31,100,100,1,0.05,11,0.05,226,0.52478782,226,9.416666667
32,100,100,1,0.05,11,0.1,129,0.29954703,129,5.375
33,100,100,1,0.05,12,0.01,634,1.47219238,634,26.41666667
34,100,100,1,0.05,12,0.05,274,0.63624718,274,11.41666667
35,100,100,1,0.05,12,0.1,160,0.3715312,160,6.666666667
36,100,100,1,0.05,13,0.01,703,1.63241521,703,29.29166667
37,100,100,1,0.05,13,0.05,347,0.80575829,347,14.45833333
38,100,100,1,0.05,13,0.1,213,0.49460091,213,8.875
39,100,100,1,0.05,14,0.01,786,1.82514702,786,32.75
40,100,100,1,0.05,14,0.05,471,1.09369497,471,19.625
41,100,100,1,0.05,14,0.1,314,0.72912998,314,13.08333333
42,100,100,1,0.05,15,0.01,878,2.03877746,878,36.58333333
43,100,100,1,0.05,15,0.05,685,1.59061795,685,28.54166667
44,100,100,1,0.05,15,0.1,537,1.24695159,537,22.375
45,100,100,1,0.05,16,0.01,933,2.16649131,933,38.875
46,100,100,1,0.05,16,0.05,886,2.05735402,886,36.91666667
47,100,100,1,0.05,16,0.1,835,1.93892845,835,34.79166667
48,100,100,1,0.05,17,0.01,944,2.19203408,944,39.33333333
49,100,100,1,0.05,17,0.05,938,2.17810166,938,39.08333333
50,100,100,1,0.05,17,0.1,931,2.16184717,931,38.79166667
51,100,100,1,0.05,18,0.01,945,2.19435615,945,39.375
52,100,100,1,0.05,18,0.05,944,2.19203408,944,39.33333333
53,100,100,1,0.05,18,0.1,944,2.19203408,944,39.33333333
54,100,100,1,0.1,10,0.01,340,0.7895038,340,14.16666667
55,100,100,1,0.1,10,0.05,160,0.3715312,160,6.666666667
56,100,100,1,0.1,10,0.1,97,0.22524079,97,4.041666667
57,100,100,1,0.1,11,0.01,359,0.83362313,359,14.95833333
58,100,100,1,0.1,11,0.05,183,0.42493881,183,7.625
59,100,100,1,0.1,11,0.1,113,0.26239391,113,4.708333333
60,100,100,1,0.1,12,0.01,380,0.8823866,380,15.83333333
61,100,100,1,0.1,12,0.05,213,0.49460091,213,8.875
62,100,100,1,0.1,12,0.1,137,0.31812359,137,5.708333333
63,100,100,1,0.1,13,0.01,403,0.93579421,403,16.79166667
64,100,100,1,0.1,13,0.05,254,0.58980578,254,10.58333333
65,100,100,1,0.1,13,0.1,174,0.40404018,174,7.25
