,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
57,100.0,100.0,1.0,0.1,11.0,0.01,19.0,0.04411933,1655.0,68.95833333333333
58,100.0,100.0,1.0,0.1,11.0,0.05,17.0,0.03947519,1604.0,66.83333333333333
59,100.0,100.0,1.0,0.1,11.0,0.1,18.0,0.04179726,1406.0,58.583333333333336
60,100.0,100.0,1.0,0.1,12.0,0.01,20.0,0.0464414,1361.0,56.708333333333336
61,100.0,100.0,1.0,0.1,12.0,0.05,17.0,0.03947519,1681.0,70.04166666666667
62,100.0,100.0,1.0,0.1,12.0,0.1,18.0,0.04179726,1573.0,65.54166666666667
63,100.0,100.0,1.0,0.1,13.0,0.01,20.0,0.0464414,1479.0,61.625
64,100.0,100.0,1.0,0.1,13.0,0.05,20.0,0.0464414,1442.0,60.083333333333336
65,100.0,100.0,1.0,0.1,13.0,0.1,16.0,0.03715312,1468.0,61.166666666666664
66,100.0,100.0,1.0,0.1,14.0,0.01,19.0,0.04411933,1539.0,64.125
67,100.0,100.0,1.0,0.1,14.0,0.05,20.0,0.0464414,1631.0,67.95833333333333
68,100.0,100.0,1.0,0.1,14.0,0.1,21.0,0.04876347,1267.0,52.791666666666664
69,100.0,100.0,1.0,0.1,15.0,0.01,18.0,0.04179726,1420.0,59.166666666666664
70,100.0,100.0,1.0,0.1,15.0,0.05,17.0,0.03947519,1846.0,76.91666666666667
71,100.0,100.0,1.0,0.1,15.0,0.1,18.0,0.04179726,1493.0,62.208333333333336
72,100.0,100.0,1.0,0.1,16.0,0.01,18.0,0.04179726,1457.0,60.708333333333336
73,100.0,100.0,1.0,0.1,16.0,0.05,18.0,0.04179726,1743.0,72.625
74,100.0,100.0,1.0,0.1,16.0,0.1,19.0,0.04411933,1564.0,65.16666666666667
75,100.0,100.0,1.0,0.1,17.0,0.01,21.0,0.04876347,1494.0,62.25
76,100.0,100.0,1.0,0.1,17.0,0.05,19.0,0.04411933,1487.0,61.958333333333336
77,100.0,100.0,1.0,0.1,17.0,0.1,18.0,0.04179726,1258.0,52.416666666666664
78,100.0,100.0,1.0,0.1,18.0,0.01,20.0,0.0464414,1599.0,66.625
79,100.0,100.0,1.0,0.1,18.0,0.05,19.0,0.04411933,1578.0,65.75
80,100.0,100.0,1.0,0.1,18.0,0.1,18.0,0.04179726,1605.0,66.875
81,100.0,150.0,1.0,0.01,10.0,0.01,169.0,0.39242983,14302.0,595.9166666666666
82,100.0,150.0,1.0,0.01,10.0,0.05,113.0,0.26239391,9185.0,382.7083333333333
83,100.0,150.0,1.0,0.01,10.0,0.1,79.0,0.18344353,6412.0,267.1666666666667
84,100.0,150.0,1.0,0.01,11.0,0.01,171.0,0.39707397,14291.0,595.4583333333334
85,100.0,150.0,1.0,0.01,11.0,0.05,117.0,0.27168219,10665.0,444.375
86,100.0,150.0,1.0,0.01,11.0,0.1,88.0,0.20434216,6747.0,281.125
87,100.0,150.0,1.0,0.01,12.0,0.01,180.0,0.4179726,14707.0,612.7916666666666
88,100.0,150.0,1.0,0.01,12.0,0.05,129.0,0.29954703,11237.0,468.2083333333333
89,100.0,150.0,1.0,0.01,12.0,0.1,102.0,0.23685114,8366.0,348.5833333333333
90,100.0,150.0,1.0,0.01,13.0,0.01,183.0,0.42493881,15043.0,626.7916666666666
91,100.0,150.0,1.0,0.01,13.0,0.05,147.0,0.34134429,11459.0,477.4583333333333
92,100.0,150.0,1.0,0.01,13.0,0.1,117.0,0.27168219,9428.0,392.8333333333333
93,100.0,150.0,1.0,0.01,14.0,0.01,186.0,0.43190502,15912.0,663.0
94,100.0,150.0,1.0,0.01,14.0,0.05,163.0,0.37849741,14031.0,584.625
95,100.0,150.0,1.0,0.01,14.0,0.1,138.0,0.32044566,12131.0,505.4583333333333
96,100.0,150.0,1.0,0.01,15.0,0.01,193.0,0.44815951,16478.0,686.5833333333334
97,100.0,150.0,1.0,0.01,15.0,0.05,180.0,0.4179726,15808.0,658.6666666666666
98,100.0,150.0,1.0,0.01,15.0,0.1,169.0,0.39242983,14144.0,589.3333333333334
99,100.0,150.0,1.0,0.01,16.0,0.01,195.0,0.45280365,15887.0,661.9583333333334
100,100.0,150.0,1.0,0.01,16.0,0.05,193.0,0.44815951,15845.0,660.2083333333334
101,100.0,150.0,1.0,0.01,16.0,0.1,194.0,0.45048158,15779.0,657.4583333333334
102,100.0,150.0,1.0,0.01,17.0,0.01,192.0,0.44583744,16377.0,682.375
103,100.0,150.0,1.0,0.01,17.0,0.05,199.0,0.46209193,15589.0,649.5416666666666
104,100.0,150.0,1.0,0.01,17.0,0.1,182.0,0.42261674,17127.0,713.625
105,100.0,150.0,1.0,0.01,18.0,0.01,190.0,0.4411933,16176.0,674.0
106,100.0,150.0,1.0,0.01,18.0,0.05,189.0,0.43887123,16006.0,666.9166666666666
107,100.0,150.0,1.0,0.01,18.0,0.1,192.0,0.44583744,16062.0,669.25
108,100.0,150.0,1.0,0.05,10.0,0.01,40.0,0.0928828,2931.0,122.125
109,100.0,150.0,1.0,0.05,10.0,0.05,34.0,0.07895038,2938.0,122.41666666666667
110,100.0,150.0,1.0,0.05,10.0,0.1,32.0,0.07430624,2259.0,94.125
111,100.0,150.0,1.0,0.05,11.0,0.01,35.0,0.08127245,3424.0,142.66666666666666
112,100.0,150.0,1.0,0.05,11.0,0.05,34.0,0.07895038,2671.0,111.29166666666667
113,100.0,150.0,1.0,0.05,11.0,0.1,33.0,0.07662831,2690.0,112.08333333333333
114,100.0,150.0,1.0,0.05,12.0,0.01,39.0,0.09056073,3147.0,131.125
115,100.0,150.0,1.0,0.05,12.0,0.05,36.0,0.08359452,2851.0,118.79166666666667
116,100.0,150.0,1.0,0.05,12.0,0.1,32.0,0.07430624,2882.0,120.08333333333333
117,100.0,150.0,1.0,0.05,13.0,0.01,43.0,0.09984901,2988.0,124.5
118,100.0,150.0,1.0,0.05,13.0,0.05,35.0,0.08127245,3427.0,142.79166666666666
119,100.0,150.0,1.0,0.05,13.0,0.1,37.0,0.08591659,3283.0,136.79166666666666
120,100.0,150.0,1.0,0.05,14.0,0.01,36.0,0.08359452,3650.0,152.08333333333334
121,100.0,150.0,1.0,0.05,14.0,0.05,39.0,0.09056073,2869.0,119.54166666666667
122,100.0,150.0,1.0,0.05,14.0,0.1,38.0,0.08823866,2695.0,112.29166666666667
123,100.0,150.0,1.0,0.05,15.0,0.01,37.0,0.08591659,3541.0,147.54166666666666
124,100.0,150.0,1.0,0.05,15.0,0.05,37.0,0.08591659,3119.0,129.95833333333334
125,100.0,150.0,1.0,0.05,15.0,0.1,40.0,0.0928828,3220.0,134.16666666666666
126,100.0,150.0,1.0,0.05,16.0,0.01,42.0,0.09752694,3429.0,142.875
127,100.0,150.0,1.0,0.05,16.0,0.05,39.0,0.09056073,3734.0,155.58333333333334
128,100.0,150.0,1.0,0.05,16.0,0.1,40.0,0.0928828,3243.0,135.125
129,100.0,150.0,1.0,0.05,17.0,0.01,38.0,0.08823866,3166.0,131.91666666666666
130,100.0,150.0,1.0,0.05,17.0,0.05,38.0,0.08823866,3574.0,148.91666666666666
131,100.0,150.0,1.0,0.05,17.0,0.1,36.0,0.08359452,3382.0,140.91666666666666
132,100.0,150.0,1.0,0.05,18.0,0.01,36.0,0.08359452,3521.0,146.70833333333334
133,100.0,150.0,1.0,0.05,18.0,0.05,39.0,0.09056073,3523.0,146.79166666666666
134,100.0,150.0,1.0,0.05,18.0,0.1,43.0,0.09984901,2937.0,122.375
135,100.0,150.0,1.0,0.1,10.0,0.01,21.0,0.04876347,1655.0,68.95833333333333
136,100.0,150.0,1.0,0.1,10.0,0.05,20.0,0.0464414,1729.0,72.04166666666667
137,100.0,150.0,1.0,0.1,10.0,0.1,17.0,0.03947519,1837.0,76.54166666666667
138,100.0,150.0,1.0,0.1,11.0,0.01,21.0,0.04876347,1656.0,69.0
139,100.0,150.0,1.0,0.1,11.0,0.05,20.0,0.0464414,1539.0,64.125
140,100.0,150.0,1.0,0.1,11.0,0.1,19.0,0.04411933,1346.0,56.083333333333336
141,100.0,150.0,1.0,0.1,12.0,0.01,18.0,0.04179726,1570.0,65.41666666666667
142,100.0,150.0,1.0,0.1,12.0,0.05,18.0,0.04179726,1643.0,68.45833333333333
143,100.0,150.0,1.0,0.1,12.0,0.1,20.0,0.0464414,1344.0,56.0
144,100.0,150.0,1.0,0.1,13.0,0.01,20.0,0.0464414,1477.0,61.541666666666664
