,B_VALUE,C_VALUE,BETA_S1,BETA_S2,transactions,ETH
111,300.0,600.0,0.1,400.0,12.0,0.02786484
112,300.0,700.0,0.01,100.0,52560.0,122.0479992
113,300.0,700.0,0.01,200.0,291.0,0.67572237
114,300.0,700.0,0.01,300.0,150.0,0.3483105
115,300.0,700.0,0.01,400.0,101.0,0.23452907
116,300.0,700.0,0.1,100.0,5261.0,12.21641027
117,300.0,700.0,0.1,200.0,31.0,0.07198417
118,300.0,700.0,0.1,300.0,17.0,0.03947519
119,300.0,700.0,0.1,400.0,12.0,0.02786484
120,300.0,800.0,0.01,100.0,46066.0,106.96847662
121,300.0,800.0,0.01,200.0,291.0,0.67572237
122,300.0,800.0,0.01,300.0,150.0,0.3483105
123,300.0,800.0,0.01,400.0,101.0,0.23452907
124,300.0,800.0,0.1,100.0,4612.0,10.70938684
125,300.0,800.0,0.1,200.0,31.0,0.07198417
126,300.0,800.0,0.1,300.0,17.0,0.03947519
127,300.0,800.0,0.1,400.0,12.0,0.02786484
128,300.0,900.0,0.01,100.0,41016.0,95.24202312
129,300.0,900.0,0.01,200.0,290.0,0.6734003
130,300.0,900.0,0.01,300.0,149.0,0.34598843
131,300.0,900.0,0.01,400.0,101.0,0.23452907
132,300.0,900.0,0.1,100.0,4107.0,9.53674149
133,300.0,900.0,0.1,200.0,31.0,0.07198417
134,300.0,900.0,0.1,300.0,17.0,0.03947519
135,300.0,900.0,0.1,400.0,12.0,0.02786484
136,300.0,1000.0,0.01,100.0,36975.0,85.85853825
137,300.0,1000.0,0.01,200.0,289.0,0.67107823
138,300.0,1000.0,0.01,300.0,149.0,0.34598843
139,300.0,1000.0,0.01,400.0,101.0,0.23452907
140,300.0,1000.0,0.1,100.0,3703.0,8.59862521
141,300.0,1000.0,0.1,200.0,31.0,0.07198417
142,300.0,1000.0,0.1,300.0,17.0,0.03947519
143,300.0,1000.0,0.1,400.0,12.0,0.02786484
144,400.0,200.0,0.01,100.0,431791.0,1002.64892737
145,400.0,200.0,0.01,200.0,399.0,0.92650593
146,400.0,200.0,0.01,300.0,202.0,0.46905814
147,400.0,200.0,0.01,400.0,136.0,0.31580152
148,400.0,200.0,0.1,100.0,43185.0,100.27859295
149,400.0,200.0,0.1,200.0,41.0,0.09520487
150,400.0,200.0,0.1,300.0,22.0,0.05108554
151,400.0,200.0,0.1,400.0,15.0,0.03483105
152,400.0,300.0,0.01,100.0,288132.0,669.06267324
153,400.0,300.0,0.01,200.0,397.0,0.92186179
154,400.0,300.0,0.01,300.0,202.0,0.46905814
155,400.0,300.0,0.01,400.0,136.0,0.31580152
156,400.0,300.0,0.1,100.0,28819.0,66.91973533
157,400.0,300.0,0.1,200.0,41.0,0.09520487
158,400.0,300.0,0.1,300.0,22.0,0.05108554
159,400.0,300.0,0.1,400.0,15.0,0.03483105
160,400.0,400.0,0.01,100.0,216303.0,502.27070721
161,400.0,400.0,0.01,200.0,396.0,0.91953972
162,400.0,400.0,0.01,300.0,201.0,0.46673607
163,400.0,400.0,0.01,400.0,135.0,0.31347945
164,400.0,400.0,0.1,100.0,21636.0,50.24030652
165,400.0,400.0,0.1,200.0,41.0,0.09520487
166,400.0,400.0,0.1,300.0,22.0,0.05108554
167,400.0,400.0,0.1,400.0,15.0,0.03483105
168,400.0,500.0,0.01,100.0,173205.0,402.19413435
169,400.0,500.0,0.01,200.0,394.0,0.91489558
170,400.0,500.0,0.01,300.0,201.0,0.46673607
171,400.0,500.0,0.01,400.0,135.0,0.31347945
172,400.0,500.0,0.1,100.0,17326.0,40.23218482
173,400.0,500.0,0.1,200.0,41.0,0.09520487
174,400.0,500.0,0.1,300.0,22.0,0.05108554
175,400.0,500.0,0.1,400.0,15.0,0.03483105
176,400.0,600.0,0.01,100.0,144473.0,335.47641911
177,400.0,600.0,0.01,200.0,393.0,0.91257351
178,400.0,600.0,0.01,300.0,200.0,0.464414
179,400.0,600.0,0.01,400.0,135.0,0.31347945
180,400.0,600.0,0.1,100.0,14453.0,33.56087771
181,400.0,600.0,0.1,200.0,41.0,0.09520487
182,400.0,600.0,0.1,300.0,22.0,0.05108554
183,400.0,600.0,0.1,400.0,15.0,0.03483105
184,400.0,700.0,0.01,100.0,123950.0,287.8205765
185,400.0,700.0,0.01,200.0,392.0,0.91025144
186,400.0,700.0,0.01,300.0,200.0,0.464414
187,400.0,700.0,0.01,400.0,135.0,0.31347945
188,400.0,700.0,0.1,100.0,12401.0,28.79599007
189,400.0,700.0,0.1,200.0,41.0,0.09520487
190,400.0,700.0,0.1,300.0,22.0,0.05108554
191,400.0,700.0,0.1,400.0,15.0,0.03483105
192,400.0,800.0,0.01,100.0,108558.0,252.07927506
193,400.0,800.0,0.01,200.0,391.0,0.90792937
194,400.0,800.0,0.01,300.0,200.0,0.464414
195,400.0,800.0,0.01,400.0,135.0,0.31347945
196,400.0,800.0,0.1,100.0,10861.0,25.22000227
197,400.0,800.0,0.1,200.0,41.0,0.09520487
198,400.0,800.0,0.1,300.0,22.0,0.05108554
